player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23,reap
220833,Gustavo Gómez,15.0,D,False,06/05/1993,06/05/1993,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,90,7.0,0,0,1993,33,False,0.0
881110,Joaquín Piquerez,22.0,D,False,24/08/1998,24/08/1998,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,90,7.2,0,0,1998,28,False,0.0
285949,Andreas Pereira,8.0,M,False,01/01/1996,01/01/1996,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,79,6.7,0,0,1996,30,False,0.0
840202,Marlon Freitas,17.0,M,False,27/03/1995,27/03/1995,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,90,6.7,0,0,1995,31,False,0.0
844096,Jhon Arias,11.0,M,False,21/09/1997,21/09/1997,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,79,6.4,0,1,1997,29,False,0.0
1094179,José López,42.0,M,False,06/12/2000,06/12/2000,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,84,6.0,0,0,2000,26,False,0.0
986233,Mauricio,18.0,M,False,22/06/2001,22/06/2001,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,65,6.6,0,0,2001,25,False,0.0
1150391,Vitor Roque,9.0,F,False,28/02/2005,28/02/2005,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,84,7.7,1,0,2005,21,True,0.0
152276,Felipe Anderson,7.0,M,True,15/04/1993,15/04/1993,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,25,6.7,0,0,1993,33,False,0.0
331397,Lucas Evangelista,30.0,M,True,06/05/1995,06/05/1995,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,11,6.5,0,0,1995,31,False,0.0
1835889,Allan,40.0,F,True,19/04/2004,19/04/2004,Palmeiras,Grêmio Novorizontino,1963.0,135514.0,away,15646622,09/03/2026,Paulista A1,0.9,11,6.3,0,0,2004,22,True,0.0
