player_id,player_name,team_name,liga,birth_year,date_of_birth,rating_promedio,partidos_total
1632363,Lucas Rodrigues Marques,CA Linense,Paulista A2,2004,06/03/2004,7.7,1
1459788,Chiqueti,Athletico U20,Paranaense,2005,02/09/2005,7.7,8
1470164,Diego Coser,Internacional U20,Gaúcho,2005,22/08/2005,7.7,1
2026385,Juan Pablo,Monte Azul,Paulista A2,2005,11/06/2005,7.65,6
1647753,Didier Palacios,Envigado FC,Colombia 2 Div,2004,03/06/2004,7.65,2
1647585,Iago Silva,Orlando City SC,Carioca,2005,18/04/2005,7.633333333333333,3
1485226,João Cruz,Athletico,Paranaense,2006,12/05/2006,7.5,7
2440287,Mateus,Itabirito FC,Mineiro,2005,21/09/2005,7.5,1
1906041,Andrés Lorenzo Carreño Zambrano,Unión Magdalena,Colombia 2 Div,2003,05/05/2003,7.428571428571429,7
1895389,Luis Guedes,Grêmio,Gaúcho,2008,16/01/2008,7.4,1
1633501,Arthur Gabriel,Palmeiras,Paulista A1,2005,04/09/2005,7.4,1
1836596,Gabriel Arrieta,Unión Magdalena,Colombia 2 Div,2006,14/01/2006,7.385714285714286,7
1172056,Lucas Ronier,Coritiba,Paranaense,2004,26/11/2004,7.383333333333333,6
1485499,Rafael Barcelos,América Mineiro,Mineiro,2005,25/01/2005,7.35,6
2039649,Kevin Andres Álvarez Carvajal,Patriotas Boyacá,Colombia 2 Div,2005,07/01/2005,7.35,6
1411150,João Pedro Tchoca,Corinthians,Paulista A1,2003,31/12/2003,7.333333333333333,3
2057300,Agner,Fluminense U20,Carioca,2005,22/03/2005,7.300000000000001,2
1904871,Leyner David Palacios Cordoba,Leones FC,Colombia 2 Div,2003,07/12/2003,7.283333333333334,6
2026435,Daniel Davi Simão Roque,Santo André U20,Paulista A2,2005,15/06/2005,7.266666666666667,15
1906188,Luis Eduardo Mena Padilla,No team,Colombia 2 Div,2005,09/01/2005,7.25,2
1875994,Vinicius Peixoto,Cuiabá,Paranaense,2003,31/10/2003,7.25,8
1066620,Miguel Monsalve,Grêmio,Gaúcho,2004,27/02/2004,7.233333333333334,3
2048967,Didier Dawson,Envigado FC,Colombia 2 Div,2005,10/10/2005,7.233333333333333,6
1908165,Manuel Caicedo,Internacional de Palmira,Colombia 2 Div,2004,20/01/2004,7.220000000000001,5
1002528,Patryck,Juventude,Gaúcho,2003,18/01/2003,7.214285714285714,7
2063705,Kauê Furquim,Bahia U20,Baiano,2009,27/02/2009,7.214285714285714,7
1174174,Andrés Felipe Alfonso Ciprian,Bogotá FC,Colombia 2 Div,2005,01/02/2005,7.2125,8
1907760,Viery,Grêmio,Gaúcho,2005,01/01/2005,7.200000000000001,7
2140769,Felipe,Lagarto FC,Paranaense,2004,11/08/2004,7.2,1
1482356,Lucas Camilo,Botafogo U20,Carioca,2006,25/05/2006,7.2,2
1182233,Mateo Sanabria,Bahia,Baiano,2004,31/03/2004,7.2,4
1645837,Maceió,Portuguesa,Paulista A1,2003,14/07/2003,7.199999999999999,9
1388644,Andrés Tovar,Envigado FC,Colombia 2 Div,2006,25/03/2006,7.199999999999999,2
1845365,Guilherme Aquino,Avaí,Paranaense,2004,13/01/2004,7.199999999999999,2
2441838,Cristian Graciano Morales,Deportivo Cali,Colombia 2 Div,2003,13/05/2003,7.175,8
1466084,Wallace Yan,Flamengo,Carioca,2005,08/02/2005,7.166666666666667,3
1589379,Fábio Soares,Ferroviária,Paulista A2,2004,03/12/2004,7.160000000000001,5
2125637,Vitinho,Londrina,Paranaense,2003,27/07/2003,7.154545454545455,11
1589311,Felipe Vieira,Athletic Club U20,Mineiro,2005,09/02/2005,7.15,2
1650770,Álvaro Montoro,Botafogo,Carioca,2007,17/04/2007,7.140000000000001,5
1128850,Mycael,Athletico,Paranaense,2004,12/03/2004,7.133333333333333,6
2008383,Juan Alberto Sanchez,América de Cali,Colombia 2 Div,2003,21/01/2003,7.1125,8
1512551,Ythallo,Botafogo,Carioca,2004,22/07/2004,7.1000000000000005,4
1656036,Gabriel Bontempo,Santos,Paulista A1,2005,16/01/2005,7.1000000000000005,3
1463339,Juninho,Osasco Sporting,Paulista A2,2004,15/06/2004,7.1000000000000005,14
1645868,Guilherme Gomes,Flamengo U20,Carioca,2006,02/02/2006,7.1000000000000005,3
1199277,Leonardo Derik,Athletico,Paranaense,2005,24/07/2005,7.1000000000000005,3
1414729,Jhon Lerma,Unión Magdalena,Colombia 2 Div,2003,01/01/2003,7.1,7
1831399,Nilzo Ramírez,Envigado FC,Colombia 2 Div,2005,03/05/2005,7.1,5
2087280,Dani Jose Ferrer,Atlético Huila U19,Colombia 2 Div,2006,12/11/2006,7.1,1
1587832,Lucas Soares Stefanello,Ituano U20,Paulista A2,2005,16/02/2005,7.1,10
1174770,Rodriguinho,Fortaleza,Mineiro,2003,05/06/2003,7.1,2
1937606,Guilherme Lopes,Cianorte,Paranaense,2004,02/04/2004,7.1,1
1845395,Carlos Miguel Dias da Silva,Operário-MS,Mineiro,2005,16/09/2005,7.1,1
1586439,Marcos Maia,Athletico U17,Paranaense,2006,23/06/2006,7.1,2
1191278,Robert Renan,Vasco da Gama,Carioca,2003,11/10/2003,7.075,8
1464965,Roger,Água Santa,Paulista A2,2004,18/02/2004,7.075,4
1592238,Yago Lincoln,Londrina,Paranaense,2003,30/01/2003,7.066666666666666,12
1633616,Ruan Pablo,Bahia,Baiano,2008,22/07/2008,7.06,5
1189442,Emanuel Jesus dos Santos,Boavista,Carioca,2004,31/01/2004,7.06,5
1588928,Marcelo Cauã de Aguiar Alves,Pouso Alegre FC,Mineiro,2003,10/06/2003,7.06,10
1507616,Pedro Morisco,Coritiba,Paranaense,2004,10/01/2004,7.06,5
1902547,Tomás Andrés Díaz Carabali,Atlético Huila,Colombia 2 Div,2005,25/09/2005,7.057142857142857,7
1476894,José Guilherme,Bahia,Baiano,2005,16/03/2005,7.05,4
1482359,Jhoan Hernandez,Botafogo,Carioca,2006,20/02/2006,7.05,2
1941312,Gilberto Junior,Athletico,Paranaense,2005,27/03/2005,7.044444444444444,9
1899911,Samuel  Flórez,Tigres FC,Colombia 2 Div,2006,06/02/2006,7.0375,8
2028749,Henrique Lôvo Teles,Botafogo-SP U20,Paulista A1,2006,06/09/2006,7.033333333333334,3
1112896,Ignacio Sosa,Red Bull Bragantino,Paulista A1,2003,31/08/2003,7.033333333333333,9
1150391,Vitor Roque,Palmeiras,Paulista A1,2005,28/02/2005,7.029999999999999,10
2436878,Bruno Braga Ramos,Athletico U20,Paranaense,2008,16/08/2008,7.029999999999999,10
1906056,Javier Arturo Ortíz Fernández,Barranquilla FC,Colombia 2 Div,2004,16/04/2004,7.028571428571429,7
1887796,Kauã Prates,Cruzeiro,Mineiro,2008,11/08/2008,7.025,4
1588163,Renan Cosenza,Cascavel,Paranaense,2004,21/11/2004,7.025,4
1137867,Alejandro Aguilar,Bogotá FC,Colombia 2 Div,2004,24/07/2004,7.0249999999999995,8
1841330,Pablo Santos,Vitória,Baiano,2003,03/08/2003,7.016666666666667,6
1478279,Daniel Marmolejo,Leones FC,Colombia 2 Div,2004,20/02/2004,7.0125,8
1899908,Philippe Oviedo,Barranquilla FC,Colombia 2 Div,2007,30/10/2007,7.0,7
2033952,Renan Araujo,EC Noroeste,Paulista A1,2003,07/03/2003,7.0,1
1631268,Gabriel Justino,Botafogo,Carioca,2006,16/04/2006,7.0,6
1469515,Hygor,Azuriz,Paranaense,2004,17/04/2004,7.0,5
1906181,Freddy Enrique Molina Salcedo,Unión Magdalena,Colombia 2 Div,2004,01/01/2004,7.0,7
1485191,Allex,Internacional,Gaúcho,2006,04/05/2006,7.0,10
2032806,Davi Gomes,Red Bull Bragantino U20,Paulista A1,2005,06/06/2005,7.0,3
2440201,Alemão,Grêmio Novorizontino,Paulista A1,2007,02/09/2007,7.0,3
2027869,Crysthyan Lucas Da Silva Rocha,Londrina,Paranaense,2005,13/01/2005,7.0,2
1427847,Dilan Tapia,Alianza Petrolera,Colombia 2 Div,2003,01/05/2003,7.0,3
1476558,Dantas,Grêmio Novorizontino,Paulista A1,2004,25/07/2004,7.0,10
2063956,Arthur Dias,Athletico U20,Paranaense,2007,10/04/2007,7.0,2
1654460,Jhojan Amaya,Real Cundinamarca,Colombia 2 Div,2006,01/04/2006,7.0,7
1906183,Carlos Yesid Restrepo Castillo,Boca Juniors de Cali,Colombia 2 Div,2004,16/03/2004,6.9875,8
1829051,Duván Ruiz,Real Santander,Colombia 2 Div,2003,14/05/2003,6.985714285714286,7
1901814,Andres Ruíz,Orsomarso SC,Colombia 2 Div,2004,10/12/2004,6.983333333333333,6
2052685,Darwin Torres,Barranquilla FC,Colombia 2 Div,2008,15/06/2008,6.983333333333333,6
1411181,Higuinho,Atlético Alagoinhas,Baiano,2003,06/01/2003,6.983333333333333,6
1892689,Luis Miguel,Vitória U20,Baiano,2005,04/02/2005,6.9799999999999995,5
1201949,Felipe Amaral,América Mineiro,Mineiro,2003,08/07/2003,6.9799999999999995,10
1507611,Jean Gabriel,Coritiba,Paranaense,2003,15/02/2003,6.9799999999999995,5
1385943,Kleiton Cuellar,Deportivo Cali,Colombia 2 Div,2004,26/02/2004,6.975,4
1174933,Sebastián Girado,Orsomarso SC,Colombia 2 Div,2004,11/08/2004,6.975,8
1490609,Bruno Cheron,Maringá FC,Paranaense,2004,17/01/2004,6.975,4
1855842,Santiago Mora,Independiente Santa Fe,Colombia 2 Div,2008,11/03/2008,6.966666666666666,3
1475280,Luis Renteria,Patriotas Boyacá,Colombia 2 Div,2005,27/11/2005,6.959999999999999,5
1589317,Felipe Santana,Náutico,Paulista A2,2005,08/03/2005,6.959999999999999,5
